ticker,money,nrTrades,tradeWinsMedian,smallSMA,bigSMA
ETH-USD,19618.158856673916,5,0.3558997168922864,140,48
URA,28614.916996945103,5,0.3446669061499905,110,48
NVDA,27804.952313196856,6,0.28360111732764076,35,73
LLY,19694.929555574327,5,0.21061781387280631,174,185
BTC-USD,13770.437698318865,8,0.19472770781375692,79,48
TSLA,139031.6794173453,8,0.17702432129266665,35,73
AMD,16726.2382989929,7,0.17475634085607017,91,73
PGR,17935.47888580474,5,0.14919053936839943,210,217
VDE,15601.87104084366,5,0.13706167971699768,110,73
UPRO,18584.952501683718,6,0.13632069676569059,302,300
BTEC.L,14669.738890164088,5,0.130562579773136,110,73
DG,20543.634517847353,6,0.12506701148452437,150,73
WM,17730.66681624689,5,0.11632618361096769,130,48
ADBE,13203.318967913077,7,0.11538885859195758,80,48
FAS,46588.859551382244,7,0.11374629137213255,302,300
VIS,16989.745581669173,5,0.1135122793351393,335,300
TQQQ,13883.628742910418,7,0.10789280749799768,87,73
AVAX-USD,21621.472463294893,6,0.10685364390962299,80,73
TEAM,24197.660321757678,8,0.10169690937618892,21,73
KDP,15736.47074863741,5,0.1002570757774226,302,185
VHT,15480.12798037494,5,0.09820902859141833,110,48
UNH,16947.944968407268,5,0.09610081746737409,110,73
VPU,15969.929389005554,5,0.09078100283768853,110,48
VDC,15001.277017766999,6,0.08675351360705164,80,48
NOC,18726.93047602771,7,0.08250743102633606,110,48
AAPL,13611.216492945088,5,0.08214427194698692,110,73
GOOG,17653.11792534956,5,0.07436667116209672,192,200
RWL,13277.032171168814,5,0.0712212331430917,182,185
RENW.DE,13727.511915849675,5,0.06428841788763329,95,48
VAW,19546.061884901446,5,0.06413686784637895,210,200
VFH,14943.068628536887,5,0.05789994094743234,190,185
WOOD,16588.29082562309,9,0.05486156586374835,208,217
IWDA.AS,15473.422390786707,5,0.0525563432009053,91,73
AMZN,13768.611452050349,7,0.05247346147529952,150,73
DBMF,13059.380201744654,5,0.050745924769726614,210,200
VNQ,14087.532794969773,6,0.05016176561530539,80,48
L0CK.DE,14739.450810806871,8,0.049611671920609224,70,48
2B76.DE,14606.55268007702,5,0.0472111470062786,110,48
PYPL,13775.898433939485,5,0.04688823187738245,449,450
MSFT,14398.460150389677,8,0.03565670538498422,60,73
DBE,20922.828359656814,5,0.035113356741480306,60,73
VTV,14825.634160334797,8,0.03388651091694461,302,300
DBO,13769.856670798694,6,0.029031091550208443,21,73
XAIX.DE,13962.901249586139,6,0.02846242663026044,210,217
VGT,13220.116180866493,7,0.02772337702629324,80,73
FNDX,14010.620103756468,6,0.024181138071436847,60,73
QQQ,13029.051775141541,7,0.022609982827294983,70,48
VLUE,13356.283949340914,6,0.02239430445166768,226,217
EEM,13310.920842431728,10,0.02120326120899918,95,73
VCR,13205.925405188236,6,0.01820634001558441,70,48
META,14940.533310643741,5,0.0162091205023831,11,73
GLD,13435.555861117038,10,0.014183539893131258,35,48
DBA,13909.3644778942,5,0.007427654535508976,21,73
DBB,14245.016972944553,9,0.005874675490720849,70,73
